Postcode,Speed cameras2014Number,Speed cameras2014Value ($),Speed cameras2015Number,Speed cameras2015Value ($),,,,,,,,
2480,1152,245189,1033,223059,,,,,,,,
2209,1772,484203,1747,493171,,,,,,,,
2257,1519,344906,1633,375637,,,,,,,,
2228,1652,424096,1690,431967,,,,,,,,
2323,1122,254054,1017,239935,,,,,,,,
2177,1707,456175,1751,474724,,,,,,,,
2325,933,232507,969,235137,,,,,,,,
2140,1810,555901,1799,557091,,,,,,,,
2753,1348,363446,1405,399425,,,,,,,,
2219,1715,431259,1601,396734,,,,,,,,
2097,1759,410979,1809,437894,,,,,,,,
2060,1735,450066,1799,475399,,,,,,,,
2218,1635,411851,1627,439318,,,,,,,,
2208,1717,480583,1634,483458,,,,,,,,
2224,1528,374556,1507,390079,,,,,,,,
2096,1709,386579,1804,419866,,,,,,,,
2009,1757,442021,1791,499099,,,,,,,,
2518,1585,367635,1411,336635,,,,,,,,
2127,1504,416695,1712,480874,,,,,,,,
2134,1731,491972,1757,508692,,,,,,,,
2263,1256,285032,1333,315358,,,,,,,,
2749,1345,335411,1268,332701,,,,,,,,
2193,1720,447293,1678,456899,,,,,,,,
2283,1013,231427,1063,248819,,,,,,,,
2015,1794,528986,1704,517625,,,,,,,,
2146,1484,427086,1563,440321,,,,,,,,
2526,1449,370707,1322,346068,,,,,,,,
2430,999,209956,1024,229069,,,,,,,,
2765,1286,366807,1283,395213,,,,,,,,
2037,1654,415142,1693,446894,,,,,,,,
2068,1591,388993,1665,418924,,,,,,,,
2324,968,220961,972,234443,,,,,,,,
2519,1475,341438,1341,325866,,,,,,,,
2033,1707,427383,1586,410919,,,,,,,,
2330,687,152835,690,163579,,,,,,,,
2023,1584,392833,1681,390527,,,,,,,,
2024,1607,388608,1689,401639,,,,,,,,
2262,1121,257630,1131,264015,,,,,,,,
2071,1483,349728,1534,389126,,,,,,,,
2156,1357,345824,1305,348995,,,,,,,,
2527,1091,250845,1081,273516,,,,,,,,
2089,1513,368141,1609,414382,,,,,,,,
2047,1499,373415,1595,423960,,,,,,,,
2090,1506,353278,1611,412326,,,,,,,,
2029,1522,362349,1659,388235,,,,,,,,
2428,1297,243033,956,187204,,,,,,,,
2777,1153,266502,1187,281620,,,,,,,,
2069,1343,331228,1566,391963,,,,,,,,
2227,1236,302671,1311,327586,,,,,,,,
2110,1400,326660,1500,402258,,,,,,,,
2440,652,132556,847,170596,,,,,,,,
2203,1471,370115,1415,345394,,,,,,,,
2016,1523,366311,1353,324757,,,,,,,,
2115,1220,317787,1566,437630,,,,,,,,
2541,1000,223872,828,202755,,,,,,,,
2766,1127,296649,1275,344640,,,,,,,,
2106,1418,328850,1339,332004,,,,,,,,
2070,1297,312786,1438,368804,,,,,,,,
2173,1207,311875,1273,335002,,,,,,,,
2103,1374,337610,1366,324342,,,,,,,,
2019,1324,320245,1420,402120,,,,,,,,
2322,854,201761,751,180767,,,,,,,,
2564,1113,301783,1100,297150,,,,,,,,
2163,1266,367871,1338,402529,,,,,,,,
2027,1357,342849,1433,341338,,,,,,,,
2222,1151,306097,1311,335286,,,,,,,,
2133,1333,362080,1314,372254,,,,,,,,
2025,1324,328636,1430,332605,,,,,,,,
2197,1139,315129,1194,335749,,,,,,,,
2850,503,119235,690,150285,,,,,,,,
2152,1177,327375,1273,361387,,,,,,,,
2478,883,183056,815,175043,,,,,,,,
2119,1278,331213,1261,325741,,,,,,,,
2039,1266,314460,1366,365774,,,,,,,,
2620,453,117442,458,125872,,,,,,,,
2086,1267,340151,1185,317923,,,,,,,,
2558,962,259080,909,243954,,,,,,,,
2502,1072,260595,988,263061,,,,,,,,
2198,1079,287852,1101,314405,,,,,,,,
2158,1118,302277,1121,304530,,,,,,,,
2525,1179,294314,1030,268564,,,,,,,,
2289,895,218903,841,213919,,,,,,,,
2780,737,161304,959,210962,,,,,,,,
2533,1038,247130,865,218909,,,,,,,,
2291,937,208904,916,222386,,,,,,,,
2281,859,189642,803,183965,,,,,,,,
2460,586,125759,558,118529,,,,,,,,
2300,939,216975,915,237804,,,,,,,,
2580,569,148420,517,132065,,,,,,,,
2790,575,136347,798,165348,,,,,,,,
2517,1072,226878,904,210282,,,,,,,,
2049,1159,368797,1146,310714,,,,,,,,
2575,714,174081,725,181572,,,,,,,,
2350,443,105742,438,101057,,,,,,,,
2456,734,147674,587,120326,,,,,,,,
2571,688,179245,641,175178,,,,,,,,
2143,1016,296633,1142,352145,,,,,,,,
2087,1098,279557,1070,279275,,,,,,,,
2515,1089,238659,903,206447,,,,,,,,
2136,1156,336466,1065,291857,,,,,,,,
2132,1106,300460,1113,316523,,,,,,,,
2333,554,114821,448,104278,,,,,,,,
2774,834,195933,882,212140,,,,,,,,
2038,1082,266866,1054,252560,,,,,,,,
2481,831,169544,822,177439,,,,,,,,
2264,683,155355,645,154297,,,,,,,,
2304,765,182851,766,179905,,,,,,,,
2226,921,235354,891,211501,,,,,,,,
2321,567,126768,540,127061,,,,,,,,
2085,1032,271981,961,262798,,,,,,,,
2282,708,172672,672,159769,,,,,,,,
2758,712,176172,713,200538,,,,,,,,
2028,1030,287425,1057,264934,,,,,,,,
2577,655,157223,588,143454,,,,,,,,
2576,694,169802,697,167486,,,,,,,,
2256,763,172395,846,202054,,,,,,,,
2044,952,274506,948,287715,,,,,,,,
2315,554,125780,572,136948,,,,,,,,
2008,833,210297,1021,265250,,,,,,,,
2050,934,242187,889,248043,,,,,,,,
2640,220,50834,209,47261,,,,,,,,
2064,878,224838,987,287574,,,,,,,,
2092,913,202394,939,228587,,,,,,,,
2539,556,121218,520,130635,,,,,,,,
2191,911,252556,880,246340,,,,,,,,
2072,792,189958,967,271054,,,,,,,,
2167,838,236635,698,194112,,,,,,,,
2318,456,99265,410,92536,,,,,,,,
2007,886,221471,911,253510,,,,,,,,
2299,659,168854,633,158137,,,,,,,,
2045,862,234150,882,241523,,,,,,,,
2102,833,223621,854,218446,,,,,,,,
2043,878,218559,801,210107,,,,,,,,
2305,613,138686,518,125517,,,,,,,,
2508,654,160293,620,160774,,,,,,,,
2062,800,185050,771,189115,,,,,,,,
2116,704,193609,853,256469,,,,,,,,
2536,356,81962,366,87534,,,,,,,,
2557,503,138801,553,158010,,,,,,,,
2048,754,191359,735,190081,,,,,,,,
2486,461,96930,461,94939,,,,,,,,
2061,758,201112,737,209701,,,,,,,,
2303,603,153804,579,157008,,,,,,,,
2284,461,112211,467,108964,,,,,,,,
2452,381,71100,357,69387,,,,,,,,
2130,750,206503,717,197740,,,,,,,,
2506,586,143744,569,144632,,,,,,,,
2705,108,27561,111,32295,,,,,,,,
2870,303,65918,320,67668,,,,,,,,
2063,629,143506,656,160206,,,,,,,,
2094,692,151595,655,154838,,,,,,,,
2159,545,137239,603,146013,,,,,,,,
2380,147,33092,193,46457,,,,,,,,
2446,314,72707,339,72447,,,,,,,,
2794,239,55602,267,57796,,,,,,,,
2079,508,115452,562,143747,,,,,,,,
2337,332,75488,300,70451,,,,,,,,
2298,442,103166,395,99523,,,,,,,,
2754,430,122644,480,153096,,,,,,,,
2594,184,46196,183,49700,,,,,,,,
2782,342,73457,446,95280,,,,,,,,
2483,412,85084,407,79109,,,,,,,,
2335,288,62421,241,56411,,,,,,,,
2327,295,74224,293,70319,,,,,,,,
2516,485,107048,457,104068,,,,,,,,
2752,327,79741,337,90244,,,,,,,,
2871,145,32924,279,54812,,,,,,,,
2326,280,60813,251,57886,,,,,,,,
2225,469,116058,451,112120,,,,,,,,
2505,464,123874,425,114510,,,,,,,,
2484,345,71673,339,73201,,,,,,,,
2454,247,50548,234,48173,,,,,,,,
2574,302,82671,300,90202,,,,,,,,
2265,273,65303,359,89773,,,,,,,,
2400,217,46806,138,34340,,,,,,,,
2537,232,50604,247,56268,,,,,,,,
2535,358,73286,328,73499,,,,,,,,
2550,213,50302,174,42789,,,,,,,,
2470,252,45824,262,56070,,,,,,,,
2390,141,29712,128,26528,,,,,,,,
2258,399,90502,393,86726,,,,,,,,
2773,380,89138,448,104512,,,,,,,,
2477,296,60218,299,56851,,,,,,,,
2128,445,172928,523,233554,,,,,,,,
2448,268,56285,303,68373,,,,,,,,
2178,348,105299,408,126433,,,,,,,,
2214,415,108477,458,124014,,,,,,,,
2157,373,96917,413,108914,,,,,,,,
2360,130,32108,162,32605,,,,,,,,
2082,375,90382,410,98864,,,,,,,,
2534,297,66103,321,72929,,,,,,,,
2081,336,76409,438,101980,,,,,,,,
2779,295,66999,290,64927,,,,,,,,
2573,229,65424,234,64491,,,,,,,,
2582,117,31736,137,36680,,,,,,,,
2104,399,89464,394,99425,,,,,,,,
2447,193,42989,237,46320,,,,,,,,
2443,238,47412,204,51001,,,,,,,,
2316,231,47798,270,62593,,,,,,,,
2084,385,99611,371,99275,,,,,,,,
2482,290,56802,320,67925,,,,,,,,
2429,241,51252,218,46008,,,,,,,,
2319,237,55646,197,48200,,,,,,,,
2820,149,36228,155,36096,,,,,,,,
2641,113,25318,86,20634,,,,,,,,
2317,254,56889,234,53340,,,,,,,,
2785,223,49055,315,68216,,,,,,,,
2295,241,58467,240,55943,,,,,,,,
2556,261,78263,244,70018,,,,,,,,
2776,278,61498,254,57811,,,,,,,,
2572,201,54944,221,58020,,,,,,,,
2479,287,53807,302,64457,,,,,,,,
2880,43,9519,44,10583,,,,,,,,
2762,257,70756,322,89800,,,,,,,,
2441,156,31758,181,38954,,,,,,,,
2546,182,43181,173,40225,,,,,,,,
2445,180,37126,189,36975,,,,,,,,
2787,129,30562,239,52875,,,,,,,,
2799,107,22465,182,43727,,,,,,,,
2487,222,47266,185,42310,,,,,,,,
2559,256,71490,256,70418,,,,,,,,
2431,141,30014,149,30352,,,,,,,,
2286,182,42999,192,49310,,,,,,,,
2485,245,49523,208,45604,,,,,,,,
