,,,,,,,,,,,,,,,
,ES16/048 (FA#74) GIPA Speeding fines in 2014 and 2015 by postcode and age of penalty notice recipient,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,
,"1. Data includes penalties issued between 1-Jan-2014 and 31-Dec-2014, as at 23-Feb-2016, and may change retrospectively as further penalties are loaded.",,,,,,,,,,,,,,
,"2. As the person issued with the fine may have nominated another driver, 'Age' and 'Postcode' relate to the person named on the penalty notice at the date of this report.  'Age' is as at the time of the offence.  OSR is not always able to determine the age of drivers who hold an international licence. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"3. Data regarding 'speed cameras' include all camera types (ie, fixed digital speed cameras, mobile cameras and red light/speed safety cameras).",,,,,,,,,,,,,,
,4. Data regarding 'Top 10 highest speeds recorded by speed cameras' does not include NSW Police issued speeding penalties.,,,,,,,,,,,,,,
,5. Data does not include penalties where the recipient does not have a NSW postcode.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"1. Number and value of speeding fines issued by speed cameras and NSW Police, by postcode of recipient",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Postcode,Speed cameras,,,,Police issued,,,,,,,,,
,,2014,,2015,,2014,,2015,,,,,,,
,,Number,Value ($),Number,Value ($),Number,Value ($),Number,Value ($),,,,,,
,2170," 11,399 "," 3,317,377 "," 11,436 "," 3,414,302 "," 2,480 "," 958,596 "," 2,810 "," 1,157,473 ",,,,,,
,2145," 7,383 "," 2,067,981 "," 8,544 "," 2,496,596 "," 1,559 "," 556,485 "," 1,467 "," 582,823 ",,2. Top 10 highest speeds recorded by speed cameras,,,,
,2560," 6,542 "," 1,799,348 "," 5,669 "," 1,587,243 "," 2,616 "," 857,470 "," 2,465 "," 862,292 ",,,,,,
,2148," 6,142 "," 1,725,718 "," 6,707 "," 1,929,015 "," 1,447 "," 533,053 "," 1,564 "," 636,434 ",,,,,,
,2200," 5,844 "," 1,745,769 "," 6,477 "," 1,927,438 "," 1,107 "," 449,048 "," 1,124 "," 470,023 ",,2014,,,,
,2153," 5,329 "," 1,410,944 "," 5,752 "," 1,633,391 "," 1,162 "," 386,771 "," 1,037 "," 354,193 ",,,,,,
,2770," 4,861 "," 1,272,151 "," 5,351 "," 1,408,724 "," 1,449 "," 545,929 "," 1,598 "," 611,839 ",,Recorded Speed,Posted Speed Limit,Age of Driver,Gender,Postcode
,2144," 5,400 "," 1,615,555 "," 6,002 "," 1,833,580 ", 939 ," 341,334 ", 871 ," 356,773 ",,,,,,
,2026," 5,772 "," 1,366,537 "," 6,002 "," 1,527,323 ", 510 ," 173,952 ", 482 ," 159,570 ",,201,80,22,Male,2061
,2160," 5,027 "," 1,444,543 "," 5,885 "," 1,747,739 ", 785 ," 301,423 ", 854 ," 365,483 ",,200,80,22,Male,2112
,2176," 4,918 "," 1,288,135 "," 4,822 "," 1,304,586 "," 1,244 "," 466,988 "," 1,260 "," 507,033 ",,187,80,22,Male,2121
,2155," 4,517 "," 1,171,330 "," 5,016 "," 1,365,386 "," 1,199 "," 410,099 "," 1,269 "," 468,487 ",,181,80,34,Male,2170
,2161," 4,660 "," 1,387,000 "," 5,235 "," 1,561,443 ", 906 ," 356,975 ", 933 ," 378,081 ",,179,80,26,Male,2148
,2250," 4,164 "," 1,005,091 "," 4,299 "," 993,430 "," 1,630 "," 554,716 "," 1,634 "," 573,183 ",,179,80,34,Male,2134
,2166," 4,956 "," 1,440,273 "," 5,212 "," 1,495,494 ", 742 ," 270,694 ", 788 ," 314,650 ",,177,80,25,Male,2450
,2171," 4,411 "," 1,252,373 "," 4,403 "," 1,257,005 "," 1,340 "," 515,640 "," 1,544 "," 609,875 ",,176,80,29,Male,2145
,2035," 5,470 "," 1,301,463 "," 5,168 "," 1,293,588 ", 556 ," 174,271 ", 500 ," 178,926 ",,176,100,20,Male,2845
,2168," 4,206 "," 1,168,778 "," 4,562 "," 1,291,217 "," 1,247 "," 498,175 "," 1,295 "," 540,808 ",,172,100,61,Male,2447
,2196," 4,496 "," 1,271,125 "," 4,688 "," 1,316,276 ", 873 ," 332,139 ", 872 ," 382,515 ",,170,80,31,Male,2148
,2165," 4,400 "," 1,244,125 "," 4,673 "," 1,394,026 ", 796 ," 284,210 ", 942 ," 400,862 ",,169,80,28,Male,2026
,2147," 4,079 "," 1,140,874 "," 4,368 "," 1,226,399 "," 1,029 "," 344,846 "," 1,083 "," 410,960 ",,,,,,
,2031," 4,869 "," 1,228,517 "," 4,899 "," 1,211,726 ", 405 ," 130,897 ", 370 ," 123,099 ",,,,,,
,2259," 3,399 "," 772,710 "," 3,420 "," 801,700 "," 1,811 "," 574,495 "," 1,615 "," 552,509 ",,2015,,,,
,2154," 4,128 "," 1,043,142 "," 4,394 "," 1,162,521 ", 796 ," 267,563 ", 722 ," 257,626 ",,,,,,
,2000," 4,246 "," 1,279,083 "," 4,747 "," 1,451,865 ", 442 ," 167,794 ", 406 ," 176,093 ",,Recorded Speed,Posted Speed Limit,Age of Driver,Gender,Postcode
,2099," 4,400 "," 1,120,193 "," 4,411 "," 1,148,384 ", 543 ," 179,040 ", 487 ," 171,089 ",,,,,,
,2190," 3,932 "," 1,140,577 "," 4,121 "," 1,168,523 ", 793 ," 318,408 ", 834 ," 360,388 ",,220,80,29,Male,2031
,2500," 3,937 "," 986,791 "," 3,644 "," 935,862 ", 934 ," 310,831 ", 956 ," 338,623 ",,186,80,22,Male,2148
,2216," 3,861 "," 1,004,910 "," 3,774 "," 1,000,148 ", 738 ," 239,439 ", 687 ," 255,303 ",,182,80,19,Male,2034
,2750," 3,279 "," 859,413 "," 3,467 "," 926,413 "," 1,014 "," 357,045 "," 1,164 "," 432,274 ",,179,80,23,Male,2146
,2036," 3,840 "," 918,096 "," 3,890 "," 980,970 ", 552 ," 175,221 ", 496 ," 191,251 ",,173,80,Unknown,Male,2095
,2141," 3,602 "," 1,038,425 "," 4,006 "," 1,188,985 ", 583 ," 202,751 ", 563 ," 201,471 ",,172,80,26,Male,2756
,2747," 3,235 "," 840,595 "," 3,356 "," 900,192 ", 938 ," 326,768 "," 1,176 "," 447,228 ",,171,110,30,Male,2256
,2112," 3,743 "," 939,804 "," 4,031 "," 1,045,216 ", 477 ," 161,751 ", 446 ," 162,994 ",,170,110,32,Male,2285
,2142," 3,574 "," 1,104,005 "," 3,757 "," 1,144,010 ", 567 ," 214,921 ", 555 ," 220,900 ",,169,110,50,Male,2170
,2150," 3,515 "," 1,086,703 "," 4,006 "," 1,250,893 ", 453 ," 160,880 ", 453 ," 178,389 ",,169,60,25,Male,2130
,2234," 3,176 "," 800,793 "," 3,207 "," 838,731 ", 996 ," 317,777 ", 933 ," 333,883 ",,168,70,20,Male,2333
,2122," 3,633 "," 910,233 "," 3,795 "," 973,689 ", 428 ," 144,761 ", 376 ," 134,831 ",,,,,,
,2261," 2,930 "," 651,597 "," 2,819 "," 623,740 "," 1,202 "," 402,793 "," 1,219 "," 422,658 ",,,,,,
,2135," 3,644 "," 987,518 "," 3,644 "," 992,040 ", 411 ," 145,371 ", 379 ," 140,873 ",,,,,,
,2567," 2,655 "," 766,554 "," 2,545 "," 716,225 "," 1,427 "," 469,207 "," 1,390 "," 498,930 ",,,,,,
,2570," 2,282 "," 656,970 "," 2,254 "," 620,537 "," 1,732 "," 538,172 "," 1,740 "," 561,633 ",,,,,,
,2088," 3,457 "," 812,537 "," 3,878 "," 982,233 ", 345 ," 113,258 ", 325 ," 116,556 ",,,,,,
,2195," 3,432 "," 929,416 "," 3,488 "," 996,400 ", 463 ," 167,492 ", 510 ," 218,723 ",,,,,,
,2220," 3,255 "," 852,369 "," 3,315 "," 861,326 ", 687 ," 224,820 ", 621 ," 203,428 ",,,,,,
,2756," 2,545 "," 679,938 "," 2,806 "," 848,218 "," 1,198 "," 390,575 "," 1,321 "," 452,837 ",,,,,,
,2010," 3,502 "," 894,650 "," 3,616 "," 958,690 ", 320 ," 111,976 ", 312 ," 112,488 ",,,,,,
,2034," 3,533 "," 881,361 "," 3,534 "," 901,039 ", 365 ," 106,422 ", 238 ," 79,370 ",,,,,,
,2760," 2,852 "," 779,036 "," 2,979 "," 791,408 ", 873 ," 317,069 ", 963 ," 377,195 ",,,,,,
,2066," 3,219 "," 769,143 "," 3,593 "," 987,351 ", 429 ," 147,925 ", 369 ," 129,303 ",,,,,,
,2210," 2,880 "," 738,709 "," 3,057 "," 798,848 ", 869 ," 274,081 ", 788 ," 260,001 ",,,,,,
,2230," 2,825 "," 679,197 "," 2,896 "," 727,173 ", 950 ," 286,735 ", 892 ," 269,376 ",,,,,,
,2207," 3,128 "," 821,323 "," 3,046 "," 825,989 ", 732 ," 243,214 ", 647 ," 252,617 ",,,,,,
,2046," 3,246 "," 852,980 "," 3,461 "," 953,161 ", 444 ," 159,393 ", 388 ," 145,980 ",,,,,,
,2137," 3,316 "," 855,650 "," 3,428 "," 949,573 ", 359 ," 116,014 ", 358 ," 125,157 ",,,,,,
,2217," 2,995 "," 787,506 "," 3,104 "," 798,973 ", 641 ," 212,487 ", 601 ," 197,171 ",,,,,,
,2229," 2,841 "," 738,511 "," 2,765 "," 738,512 ", 792 ," 240,275 ", 813 ," 258,587 ",,,,,,
,2077," 2,814 "," 695,750 "," 3,381 "," 879,673 ", 530 ," 180,015 ", 457 ," 171,712 ",,,,,,
,2065," 3,118 "," 784,327 "," 3,280 "," 861,059 ", 399 ," 136,529 ", 350 ," 117,956 ",,,,,,
,2650," 1,264 "," 254,003 "," 1,114 "," 237,221 "," 2,444 "," 727,739 "," 2,317 "," 690,458 ",,,,,,
,2795," 1,090 "," 242,668 "," 1,898 "," 396,629 "," 2,224 "," 643,107 "," 1,917 "," 563,399 ",,,,,,
,2800," 1,197 "," 262,671 "," 1,827 "," 418,170 "," 2,030 "," 556,791 "," 1,837 "," 513,024 ",,,,,,
